shipment_date,period,line,order_band,shipped_orders,mature_orders,confirmed_mispack_7d,station_catches
2026-08-03,baseline,Alder,standard,600,600,12,1
2026-08-03,baseline,Alder,complex,600,600,36,4
2026-08-03,baseline,Birch,standard,600,600,12,2
2026-08-03,baseline,Birch,complex,600,600,24,3
2026-08-04,baseline,Alder,standard,900,900,18,2
2026-08-04,baseline,Alder,complex,300,300,18,2
2026-08-04,baseline,Birch,standard,900,900,18,2
2026-08-04,baseline,Birch,complex,300,300,12,2
2026-08-05,baseline,Alder,standard,600,600,12,1
2026-08-05,baseline,Alder,complex,600,600,36,4
2026-08-05,baseline,Birch,standard,600,600,12,1
2026-08-05,baseline,Birch,complex,600,600,24,4
2026-08-17,pilot,Alder,standard,1150,1150,11,25
2026-08-17,pilot,Alder,complex,50,50,5,9
2026-08-17,pilot,Birch,standard,1150,1150,11,20
2026-08-17,pilot,Birch,complex,50,50,3,6
2026-08-18,pilot,Alder,standard,1000,1000,10,24
2026-08-18,pilot,Alder,complex,200,200,20,27
2026-08-18,pilot,Birch,standard,1000,1000,10,18
2026-08-18,pilot,Birch,complex,200,200,12,20
2026-08-19,pilot,Alder,standard,1150,1150,12,26
2026-08-19,pilot,Alder,complex,50,50,5,8
2026-08-19,pilot,Birch,standard,1150,1150,12,21
2026-08-19,pilot,Birch,complex,50,50,3,7
2026-08-28,pilot,Alder,standard,570,0,0,15
2026-08-28,pilot,Alder,complex,30,0,0,5
2026-08-28,pilot,Birch,standard,570,0,0,11
2026-08-28,pilot,Birch,complex,30,0,0,3
